"","codigo","habitaciones","banios","superficie_total","superficie_construida","estacionamiento","precio","precioPESO","precioUF","fechaPublicacion","categoria","subcategoria","region","Region1","valorUFm2"
"136","3062650","4",NA,140,130,NA,"$ 215.000.000"," 215000000","6949.61849826825","2021-12-13","Venta Usada","Casa","v-region-de-valparaiso","V Region",49.6401321304875
"137","6133710","3",NA,120,90,"2","$ 140.000.000"," 140000000","4525.33297561654","2021-12-10","Venta Usada","Casa","v-region-de-valparaiso","V Region",37.7111081301378
"138","2844770","3",NA,116,116,"3","$ 110.000.000"," 110000000","3555.61876655585","2021-12-09","Venta Usada","Casa","v-region-de-valparaiso","V Region",30.6518859185849
"139","4923923","6",NA,240,160,"2","$ 70.000.000"," 70000000","2262.66648780827","2021-12-09","Venta Usada","Casa","v-region-de-valparaiso","V Region",9.42777703253446
"140","2447111","3",NA,500,150,"4","$ 196.000.000"," 196000000","6335.46616586315","2021-12-07","Venta Usada","Casa","v-region-de-valparaiso","V Region",12.6709323317263
"141","4661291","5",NA,301,178,"2","UF 10.500,00","324837975","10500.00","2021-12-07","Venta Usada","Casa","v-region-de-valparaiso","V Region",34.8837209302326
"142","4866536","4",NA,450,288,"4","UF 17.500,00","541396625","17500.00","2021-12-07","Venta Nueva","Casa","v-region-de-valparaiso","V Region",38.8888888888889
"143","5750661","3",NA,NA,NA,NA,"UF 3.780,00","116941671","3780.00","2021-12-06","Venta Nueva","Casa","v-region-de-valparaiso","V Region",NA
"144","4688316","4",NA,400,160,"2","UF 6.990,00","216249280.5","6990.00","2021-12-04","Venta Usada","Casa","v-region-de-valparaiso","V Region",17.475
"145","5084005","4",NA,510,NA,"3","UF 5.377,00","166347980.15","5377.00","2021-12-04","Venta Usada","Casa","v-region-de-valparaiso","V Region",10.543137254902
"146","5501458","3",NA,260,165,"1","$ 140.000.000"," 140000000","4525.33297561654","2021-12-04","Venta Usada","Casa","v-region-de-valparaiso","V Region",17.4051268292944
"147","6119491","10",NA,NA,390,NA,"$ 195.000.000"," 195000000","6303.14235889446","2021-12-03","Venta Usada","Casa","v-region-de-valparaiso","V Region",NA
